,x
b_Intercept,1.00252754620941
b_log_price,1.00272001084582
b_Crisp,1.00101058390254
b_Full,1.00165631188594
b_Rich,1.00294329812635
b_Soft,1.00523150063286
sd_variety__Intercept,1.00435929105151
sd_variety__log_price,1.01309814529388
cor_variety__Intercept__log_price,1.0038632683095
sigma,1.00248123102327
Intercept,1.00296434890763
r_variety[Alsace.white.blend,Intercept],1.00380191602154
r_variety[Bordeaux-style.Red.Blend,Intercept],1.00479473919502
r_variety[Bordeaux-style.White.Blend,Intercept],1.00472640068003
r_variety[Cabernet.Franc,Intercept],1.0036513012344
r_variety[Cabernet.Sauvignon,Intercept],1.00073161327753
r_variety[Champagne.Blend,Intercept],1.00696045948874
r_variety[Chardonnay,Intercept],1.00371557978773
r_variety[Chenin.Blanc,Intercept],1.00716888012649
r_variety[Chenin.Blanc-Chardonnay,Intercept],1.00386870580658
r_variety[Gamay,Intercept],1.00609595968966
r_variety[Gewürztraminer,Intercept],1.00240560509487
r_variety[Grenache,Intercept],1.0006199347729
r_variety[Malbec,Intercept],1.00513826307735
r_variety[Malbec-Merlot,Intercept],1.0027953891575
r_variety[Marsanne,Intercept],1.00028478100948
r_variety[Melon,Intercept],1.00375041879727
r_variety[Merlot,Intercept],1.00020791914245
r_variety[Muscat,Intercept],1.0027108920069
r_variety[Petit.Manseng,Intercept],1.00206466708713
r_variety[Pinot.Blanc,Intercept],1.00527140582032
r_variety[Pinot.Gris,Intercept],1.00487700564686
r_variety[Pinot.Noir,Intercept],1.00098602683096
r_variety[Red.Blend,Intercept],1.00123226679337
r_variety[Rhône-style.Red.Blend,Intercept],1.00424065218078
r_variety[Rhône-style.White.Blend,Intercept],1.00487990844703
r_variety[Riesling,Intercept],0.999871226019304
r_variety[Rosé,Intercept],1.00152677251377
r_variety[Sauvignon.Blanc,Intercept],1.00234887535542
r_variety[Sparkling.Blend,Intercept],1.00079648574058
r_variety[Sylvaner,Intercept],1.00312365397802
r_variety[Syrah,Intercept],1.00107439118577
r_variety[Tannat,Intercept],1.00265019182321
r_variety[Tannat-Cabernet,Intercept],1.0001177768031
r_variety[Viognier,Intercept],1.00186005415703
r_variety[White.Blend,Intercept],1.00539242683761
r_variety[Alsace.white.blend,log_price],1.00447984599497
r_variety[Bordeaux-style.Red.Blend,log_price],1.00602574483252
r_variety[Bordeaux-style.White.Blend,log_price],1.00533982047999
r_variety[Cabernet.Franc,log_price],1.00310756933374
r_variety[Cabernet.Sauvignon,log_price],1.00219108028253
r_variety[Champagne.Blend,log_price],1.0074292679334
r_variety[Chardonnay,log_price],1.00505897937507
r_variety[Chenin.Blanc,log_price],1.00538529537982
r_variety[Chenin.Blanc-Chardonnay,log_price],1.0012245872603
r_variety[Gamay,log_price],1.00529092826662
r_variety[Gewürztraminer,log_price],1.00356496901935
r_variety[Grenache,log_price],1.00045453583069
r_variety[Malbec,log_price],1.00191175865348
r_variety[Malbec-Merlot,log_price],1.00524927620705
r_variety[Marsanne,log_price],1.00025793979067
r_variety[Melon,log_price],1.00227768201193
r_variety[Merlot,log_price],1.00154961280294
r_variety[Muscat,log_price],1.00275491547027
r_variety[Petit.Manseng,log_price],1.00056806149192
r_variety[Pinot.Blanc,log_price],1.00508348321776
r_variety[Pinot.Gris,log_price],1.00508455499362
r_variety[Pinot.Noir,log_price],1.0013392088614
r_variety[Red.Blend,log_price],1.00170547433083
r_variety[Rhône-style.Red.Blend,log_price],1.00390324902764
r_variety[Rhône-style.White.Blend,log_price],1.00222665493677
r_variety[Riesling,log_price],1.00021584074791
r_variety[Rosé,log_price],1.00342427377994
r_variety[Sauvignon.Blanc,log_price],1.0033474762979
r_variety[Sparkling.Blend,log_price],1.00190119929109
r_variety[Sylvaner,log_price],1.00464015996431
r_variety[Syrah,log_price],1.00147743564995
r_variety[Tannat,log_price],1.0037962537035
r_variety[Tannat-Cabernet,log_price],1.00038144736648
r_variety[Viognier,log_price],1.00134541938072
r_variety[White.Blend,log_price],1.00747808724314
lprior,1.01249449169216
lp__,1.00647147009885
