,x
b_Intercept,1.00045499794261
b_log_price,1.00217708126713
b_Crisp,1.00059208458633
b_Full,1.00065099027764
b_Rich,1.00157733098543
b_Soft,1.00091189351762
sd_variety__log_price,1.00309141076736
sigma,1.00169581288289
Intercept,1.0071896786244
r_variety[Alsace.white.blend,log_price],1.00025484594433
r_variety[Bordeaux-style.Red.Blend,log_price],1.00493749890273
r_variety[Bordeaux-style.White.Blend,log_price],1.00279857255348
r_variety[Cabernet.Franc,log_price],1.00090666365497
r_variety[Cabernet.Sauvignon,log_price],1.00134234050656
r_variety[Champagne.Blend,log_price],1.00404192177971
r_variety[Chardonnay,log_price],1.00484590474063
r_variety[Chenin.Blanc,log_price],1.00102888144219
r_variety[Chenin.Blanc-Chardonnay,log_price],1.00071604895405
r_variety[Gamay,log_price],1.00069071221165
r_variety[Gewürztraminer,log_price],1.00073593639557
r_variety[Grenache,log_price],1.0006214144298
r_variety[Malbec,log_price],1.00242476301503
r_variety[Malbec-Merlot,log_price],0.999872694969556
r_variety[Marsanne,log_price],1.00276277419006
r_variety[Melon,log_price],0.999835656582432
r_variety[Merlot,log_price],1.00040641134087
r_variety[Muscat,log_price],1.00141075294237
r_variety[Petit.Manseng,log_price],1.00173265212464
r_variety[Pinot.Blanc,log_price],1.00173577208981
r_variety[Pinot.Gris,log_price],1.00072346967101
r_variety[Pinot.Noir,log_price],1.00493170474203
r_variety[Red.Blend,log_price],1.0005252304851
r_variety[Rhône-style.Red.Blend,log_price],1.00293952395939
r_variety[Rhône-style.White.Blend,log_price],1.00129843727396
r_variety[Riesling,log_price],1.00287389994737
r_variety[Rosé,log_price],1.00354451836468
r_variety[Sauvignon.Blanc,log_price],1.00307114471162
r_variety[Sparkling.Blend,log_price],1.00136621899163
r_variety[Sylvaner,log_price],1.0013011248931
r_variety[Syrah,log_price],1.00387804474941
r_variety[Tannat,log_price],1.00055759763071
r_variety[Tannat-Cabernet,log_price],1.00068743549364
r_variety[Viognier,log_price],1.00015464415531
r_variety[White.Blend,log_price],1.00121385279932
lprior,1.00438837729755
lp__,1.00222477406856
